Model,Device,PP,TP,DType,Input,Output,BS,KVCacheBucket,Prefill(ms),DecodeMin(ms),DecodeMax(ms),DecodeAvg(ms),Latency(ms),Throughput(tokens/sec)
Llama2-7B,IntelGaudi2C,1,1,BF16,1024,512,48,128,2409.32,26.54,33.08,29.8,34.45,1393.32
Llama2-7B,IntelGaudi2C,1,1,BF16,1024,512,56,128,2810.0,29.83,37.46,33.63,39.06,1433.69
Llama2-7B,IntelGaudi2C,1,1,BF16,1024,512,60,128,3010.33,31.47,39.65,35.55,41.36,1450.68
Llama2-7B,IntelGaudi2C,1,1,BF16,1024,512,64,128,3210.67,33.11,41.84,37.47,43.66,1465.87
Llama2-7B,IntelGaudi2C,1,1,BF16,1024,512,96,128,4813.38,46.27,59.35,52.8,62.1,1545.89
Llama2-7B,IntelGaudi2C,1,1,BF16,1024,512,112,128,5614.73,52.85,68.11,60.47,71.31,1570.61
Llama2-7B,IntelGaudi2C,1,1,BF16,1024,512,128,128,6416.08,59.43,76.87,68.13,80.53,1589.47
Llama2-7B,IntelGaudi2C,1,1,BF16,1024,512,256,128,12826.9,118.43,153.32,135.84,160.63,1593.72
Llama2-7B,IntelGaudi2C,1,1,BF16,1024,512,512,128,25648.53,236.56,306.33,271.38,320.94,1595.31
,,,,,,,,,,,,,,
Llama2-7B,IntelGaudi2C,1,1,BF16,2048,128,1,128,116.88,7.57,7.57,7.57,8.43,118.62
Llama2-7B,IntelGaudi2C,1,1,BF16,2048,128,4,128,451.74,9.9,9.9,9.9,13.35,299.63
Llama2-7B,IntelGaudi2C,1,1,BF16,2048,128,16,128,1791.15,19.19,19.19,19.19,33.04,484.26
Llama2-7B,IntelGaudi2C,1,1,BF16,2048,128,24,128,2684.09,25.39,25.39,25.39,46.16,519.93
Llama2-7B,IntelGaudi2C,1,1,BF16,2048,128,28,128,3130.56,28.49,28.49,28.49,52.72,531.11
Llama2-7B,IntelGaudi2C,1,1,BF16,2048,128,32,128,3577.03,31.58,31.58,31.58,59.28,539.81
Llama2-7B,IntelGaudi2C,1,1,BF16,2048,128,48,128,5362.91,43.98,43.98,43.98,85.53,561.21
Llama2-7B,IntelGaudi2C,1,1,BF16,2048,128,56,128,6255.85,50.17,50.17,50.17,98.66,567.61
Llama2-7B,IntelGaudi2C,1,1,BF16,2048,128,60,128,6702.32,53.27,53.27,53.27,105.22,570.23
Llama2-7B,IntelGaudi2C,1,1,BF16,2048,128,64,128,7148.79,56.37,56.37,56.37,111.78,572.55
Llama2-7B,IntelGaudi2C,1,1,BF16,2048,128,96,128,10720.56,81.15,81.15,81.15,164.27,584.4
Llama2-7B,IntelGaudi2C,1,1,BF16,2048,128,112,128,12506.44,93.55,93.55,93.55,190.52,587.86
Llama2-7B,IntelGaudi2C,1,1,BF16,2048,128,128,128,14292.32,105.94,105.94,105.94,216.77,590.49
