Model,Device,PP,TP,DType,BS,Input,Output,Operation,SeqLenQ,SeqLenKV,NumOps(G),Memory(GB),TopsRF(TFlops),AI,Bound
Qwen-7B,IntelGaudi2C,1,1,BF16,256,512,512,up(w1),512,512,11008.0,3.77,280.8,2918.74,compute
Qwen-7B,IntelGaudi2C,1,1,BF16,256,512,512,down(w2),512,512,11008.0,3.77,280.8,2918.74,compute
Qwen-7B,IntelGaudi2C,1,1,BF16,256,512,512,gate(w3),512,512,11008.0,3.77,280.8,2918.74,compute
Qwen-7B,IntelGaudi2C,1,1,BF16,512,512,512,qkvo_proj,512,512,32768.0,16.12,280.8,2032.12,compute
Qwen-7B,IntelGaudi2C,1,1,BF16,512,512,512,q@k_T,512,512,1024.0,12.0,280.8,85.33,memory
Qwen-7B,IntelGaudi2C,1,1,BF16,512,512,512,softmax,512,512,20.0,16.0,1.88,1.25,memory
Qwen-7B,IntelGaudi2C,1,1,BF16,512,512,512,score@v,512,512,1024.0,12.0,280.8,85.33,memory
Qwen-7B,IntelGaudi2C,1,1,BF16,512,512,512,up(w1),512,512,22016.0,7.46,280.8,2951.61,compute
Qwen-7B,IntelGaudi2C,1,1,BF16,512,512,512,down(w2),512,512,22016.0,7.46,280.8,2951.61,compute
Qwen-7B,IntelGaudi2C,1,1,BF16,512,512,512,gate(w3),512,512,22016.0,7.46,280.8,2951.61,compute
,,,,,,,,,,,,,,,
Qwen-7B,IntelGaudi2C,1,1,BF16,1,1024,512,qkvo_proj,1024,1024,128.0,0.19,280.8,682.67,compute
Qwen-7B,IntelGaudi2C,1,1,BF16,1,1024,512,q@k_T,1024,1024,8.0,0.08,280.8,102.4,memory
Qwen-7B,IntelGaudi2C,1,1,BF16,1,1024,512,softmax,1024,1024,0.16,0.12,1.88,1.25,memory
Qwen-7B,IntelGaudi2C,1,1,BF16,1,1024,512,score@v,1024,1024,8.0,0.08,280.8,102.4,memory
Qwen-7B,IntelGaudi2C,1,1,BF16,1,1024,512,up(w1),1024,1024,86.0,0.11,280.8,762.46,compute
Qwen-7B,IntelGaudi2C,1,1,BF16,1,1024,512,down(w2),1024,1024,86.0,0.11,280.8,762.46,compute
Qwen-7B,IntelGaudi2C,1,1,BF16,1,1024,512,gate(w3),1024,1024,86.0,0.11,280.8,762.46,compute
Qwen-7B,IntelGaudi2C,1,1,BF16,2,1024,512,qkvo_proj,1024,1024,256.0,0.25,280.8,1024.0,compute
Qwen-7B,IntelGaudi2C,1,1,BF16,2,1024,512,q@k_T,1024,1024,16.0,0.16,280.8,102.4,memory
Qwen-7B,IntelGaudi2C,1,1,BF16,2,1024,512,softmax,1024,1024,0.31,0.25,1.88,1.25,memory
Qwen-7B,IntelGaudi2C,1,1,BF16,2,1024,512,score@v,1024,1024,16.0,0.16,280.8,102.4,memory
Qwen-7B,IntelGaudi2C,1,1,BF16,2,1024,512,up(w1),1024,1024,172.0,0.14,280.8,1214.68,compute
Qwen-7B,IntelGaudi2C,1,1,BF16,2,1024,512,down(w2),1024,1024,172.0,0.14,280.8,1214.68,compute
Qwen-7B,IntelGaudi2C,1,1,BF16,2,1024,512,gate(w3),1024,1024,172.0,0.14,280.8,1214.68,compute
Qwen-7B,IntelGaudi2C,1,1,BF16,4,1024,512,qkvo_proj,1024,1024,512.0,0.38,280.8,1365.33,compute
Qwen-7B,IntelGaudi2C,1,1,BF16,4,1024,512,q@k_T,1024,1024,32.0,0.31,280.8,102.4,memory
Qwen-7B,IntelGaudi2C,1,1,BF16,4,1024,512,softmax,1024,1024,0.62,0.5,1.88,1.25,memory
Qwen-7B,IntelGaudi2C,1,1,BF16,4,1024,512,score@v,1024,1024,32.0,0.31,280.8,102.4,memory
Qwen-7B,IntelGaudi2C,1,1,BF16,4,1024,512,up(w1),1024,1024,344.0,0.2,280.8,1726.75,compute
Qwen-7B,IntelGaudi2C,1,1,BF16,4,1024,512,down(w2),1024,1024,344.0,0.2,280.8,1726.75,compute
Qwen-7B,IntelGaudi2C,1,1,BF16,4,1024,512,gate(w3),1024,1024,344.0,0.2,280.8,1726.75,compute
Qwen-7B,IntelGaudi2C,1,1,BF16,8,1024,512,qkvo_proj,1024,1024,1024.0,0.62,280.8,1638.4,compute
Qwen-7B,IntelGaudi2C,1,1,BF16,8,1024,512,q@k_T,1024,1024,64.0,0.62,280.8,102.4,memory
Qwen-7B,IntelGaudi2C,1,1,BF16,8,1024,512,softmax,1024,1024,1.25,1.0,1.88,1.25,memory
Qwen-7B,IntelGaudi2C,1,1,BF16,8,1024,512,score@v,1024,1024,64.0,0.62,280.8,102.4,memory
Qwen-7B,IntelGaudi2C,1,1,BF16,8,1024,512,up(w1),1024,1024,688.0,0.31,280.8,2187.93,compute
Qwen-7B,IntelGaudi2C,1,1,BF16,8,1024,512,down(w2),1024,1024,688.0,0.31,280.8,2187.93,compute
Qwen-7B,IntelGaudi2C,1,1,BF16,8,1024,512,gate(w3),1024,1024,688.0,0.31,280.8,2187.93,compute
Qwen-7B,IntelGaudi2C,1,1,BF16,16,1024,512,qkvo_proj,1024,1024,2048.0,1.12,280.8,1820.44,compute
Qwen-7B,IntelGaudi2C,1,1,BF16,16,1024,512,q@k_T,1024,1024,128.0,1.25,280.8,102.4,memory
Qwen-7B,IntelGaudi2C,1,1,BF16,16,1024,512,softmax,1024,1024,2.5,2.0,1.88,1.25,memory
Qwen-7B,IntelGaudi2C,1,1,BF16,16,1024,512,score@v,1024,1024,128.0,1.25,280.8,102.4,memory
Qwen-7B,IntelGaudi2C,1,1,BF16,16,1024,512,up(w1),1024,1024,1376.0,0.54,280.8,2525.13,compute
Qwen-7B,IntelGaudi2C,1,1,BF16,16,1024,512,down(w2),1024,1024,1376.0,0.54,280.8,2525.13,compute
Qwen-7B,IntelGaudi2C,1,1,BF16,16,1024,512,gate(w3),1024,1024,1376.0,0.54,280.8,2525.13,compute
Qwen-7B,IntelGaudi2C,1,1,BF16,32,1024,512,qkvo_proj,1024,1024,4096.0,2.12,280.8,1927.53,compute
Qwen-7B,IntelGaudi2C,1,1,BF16,32,1024,512,q@k_T,1024,1024,256.0,2.5,280.8,102.4,memory
Qwen-7B,IntelGaudi2C,1,1,BF16,32,1024,512,softmax,1024,1024,5.0,4.0,1.88,1.25,memory
Qwen-7B,IntelGaudi2C,1,1,BF16,32,1024,512,score@v,1024,1024,256.0,2.5,280.8,102.4,memory
Qwen-7B,IntelGaudi2C,1,1,BF16,32,1024,512,up(w1),1024,1024,2752.0,1.01,280.8,2735.97,compute
Qwen-7B,IntelGaudi2C,1,1,BF16,32,1024,512,down(w2),1024,1024,2752.0,1.01,280.8,2735.97,compute
Qwen-7B,IntelGaudi2C,1,1,BF16,32,1024,512,gate(w3),1024,1024,2752.0,1.01,280.8,2735.97,compute
Qwen-7B,IntelGaudi2C,1,1,BF16,64,1024,512,qkvo_proj,1024,1024,8192.0,4.12,280.8,1985.94,compute
Qwen-7B,IntelGaudi2C,1,1,BF16,64,1024,512,q@k_T,1024,1024,512.0,5.0,280.8,102.4,memory
Qwen-7B,IntelGaudi2C,1,1,BF16,64,1024,512,softmax,1024,1024,10.0,8.0,1.88,1.25,memory
Qwen-7B,IntelGaudi2C,1,1,BF16,64,1024,512,score@v,1024,1024,512.0,5.0,280.8,102.4,memory
Qwen-7B,IntelGaudi2C,1,1,BF16,64,1024,512,up(w1),1024,1024,5504.0,1.93,280.8,2855.17,compute
Qwen-7B,IntelGaudi2C,1,1,BF16,64,1024,512,down(w2),1024,1024,5504.0,1.93,280.8,2855.17,compute
Qwen-7B,IntelGaudi2C,1,1,BF16,64,1024,512,gate(w3),1024,1024,5504.0,1.93,280.8,2855.17,compute
Qwen-7B,IntelGaudi2C,1,1,BF16,128,1024,512,qkvo_proj,1024,1024,16384.0,8.12,280.8,2016.49,compute
Qwen-7B,IntelGaudi2C,1,1,BF16,128,1024,512,q@k_T,1024,1024,1024.0,10.0,280.8,102.4,memory
Qwen-7B,IntelGaudi2C,1,1,BF16,128,1024,512,softmax,1024,1024,20.0,16.0,1.88,1.25,memory
Qwen-7B,IntelGaudi2C,1,1,BF16,128,1024,512,score@v,1024,1024,1024.0,10.0,280.8,102.4,memory
Qwen-7B,IntelGaudi2C,1,1,BF16,128,1024,512,up(w1),1024,1024,11008.0,3.77,280.8,2918.74,compute
Qwen-7B,IntelGaudi2C,1,1,BF16,128,1024,512,down(w2),1024,1024,11008.0,3.77,280.8,2918.74,compute
Qwen-7B,IntelGaudi2C,1,1,BF16,128,1024,512,gate(w3),1024,1024,11008.0,3.77,280.8,2918.74,compute
Qwen-7B,IntelGaudi2C,1,1,BF16,256,1024,512,qkvo_proj,1024,1024,32768.0,16.12,280.8,2032.12,compute
Qwen-7B,IntelGaudi2C,1,1,BF16,256,1024,512,q@k_T,1024,1024,2048.0,20.0,280.8,102.4,memory
Qwen-7B,IntelGaudi2C,1,1,BF16,256,1024,512,softmax,1024,1024,40.0,32.0,1.88,1.25,memory
Qwen-7B,IntelGaudi2C,1,1,BF16,256,1024,512,score@v,1024,1024,2048.0,20.0,280.8,102.4,memory
Qwen-7B,IntelGaudi2C,1,1,BF16,256,1024,512,up(w1),1024,1024,22016.0,7.46,280.8,2951.61,compute
Qwen-7B,IntelGaudi2C,1,1,BF16,256,1024,512,down(w2),1024,1024,22016.0,7.46,280.8,2951.61,compute
Qwen-7B,IntelGaudi2C,1,1,BF16,256,1024,512,gate(w3),1024,1024,22016.0,7.46,280.8,2951.61,compute
Qwen-7B,IntelGaudi2C,1,1,BF16,512,1024,512,qkvo_proj,1024,1024,65536.0,32.12,280.8,2040.03,compute
Qwen-7B,IntelGaudi2C,1,1,BF16,512,1024,512,q@k_T,1024,1024,4096.0,40.0,280.8,102.4,memory
Qwen-7B,IntelGaudi2C,1,1,BF16,512,1024,512,softmax,1024,1024,80.0,64.0,1.88,1.25,memory
Qwen-7B,IntelGaudi2C,1,1,BF16,512,1024,512,score@v,1024,1024,4096.0,40.0,280.8,102.4,memory
Qwen-7B,IntelGaudi2C,1,1,BF16,512,1024,512,up(w1),1024,1024,44032.0,14.83,280.8,2968.32,compute
Qwen-7B,IntelGaudi2C,1,1,BF16,512,1024,512,down(w2),1024,1024,44032.0,14.83,280.8,2968.32,compute
Qwen-7B,IntelGaudi2C,1,1,BF16,512,1024,512,gate(w3),1024,1024,44032.0,14.83,280.8,2968.32,compute
,,,,,,,,,,,,,,,
Qwen-7B,IntelGaudi2C,1,1,BF16,1,2048,512,qkvo_proj,2048,2048,256.0,0.25,280.8,1024.0,compute
Qwen-7B,IntelGaudi2C,1,1,BF16,1,2048,512,q@k_T,2048,2048,32.0,0.28,280.8,113.78,memory
Qwen-7B,IntelGaudi2C,1,1,BF16,1,2048,512,softmax,2048,2048,0.62,0.5,1.88,1.25,memory
Qwen-7B,IntelGaudi2C,1,1,BF16,1,2048,512,score@v,2048,2048,32.0,0.28,280.8,113.78,memory
Qwen-7B,IntelGaudi2C,1,1,BF16,1,2048,512,up(w1),2048,2048,172.0,0.14,280.8,1214.68,compute
Qwen-7B,IntelGaudi2C,1,1,BF16,1,2048,512,down(w2),2048,2048,172.0,0.14,280.8,1214.68,compute
Qwen-7B,IntelGaudi2C,1,1,BF16,1,2048,512,gate(w3),2048,2048,172.0,0.14,280.8,1214.68,compute
Qwen-7B,IntelGaudi2C,1,1,BF16,2,2048,512,qkvo_proj,2048,2048,512.0,0.38,280.8,1365.33,compute
Qwen-7B,IntelGaudi2C,1,1,BF16,2,2048,512,q@k_T,2048,2048,64.0,0.56,280.8,113.78,memory
Qwen-7B,IntelGaudi2C,1,1,BF16,2,2048,512,softmax,2048,2048,1.25,1.0,1.88,1.25,memory
Qwen-7B,IntelGaudi2C,1,1,BF16,2,2048,512,score@v,2048,2048,64.0,0.56,280.8,113.78,memory
Qwen-7B,IntelGaudi2C,1,1,BF16,2,2048,512,up(w1),2048,2048,344.0,0.2,280.8,1726.75,compute
Qwen-7B,IntelGaudi2C,1,1,BF16,2,2048,512,down(w2),2048,2048,344.0,0.2,280.8,1726.75,compute
Qwen-7B,IntelGaudi2C,1,1,BF16,2,2048,512,gate(w3),2048,2048,344.0,0.2,280.8,1726.75,compute
Qwen-7B,IntelGaudi2C,1,1,BF16,4,2048,512,qkvo_proj,2048,2048,1024.0,0.62,280.8,1638.4,compute
Qwen-7B,IntelGaudi2C,1,1,BF16,4,2048,512,q@k_T,2048,2048,128.0,1.12,280.8,113.78,memory
Qwen-7B,IntelGaudi2C,1,1,BF16,4,2048,512,softmax,2048,2048,2.5,2.0,1.88,1.25,memory
Qwen-7B,IntelGaudi2C,1,1,BF16,4,2048,512,score@v,2048,2048,128.0,1.12,280.8,113.78,memory
