Model,Device,PP,TP,DType,BS,Input,Output,Operation,SeqLenQ,SeqLenKV,NumOps(G),Memory(GB),TopsRF(TFlops),AI,Bound
Llama2-13B,IntelGaudi2B,1,1,BF16,2,1024,512,qkvo_proj,1024,1024,400.0,0.35,432.0,1137.78,compute
Llama2-13B,IntelGaudi2B,1,1,BF16,2,1024,512,q@k_T,1024,1024,20.0,0.2,432.0,102.4,memory
Llama2-13B,IntelGaudi2B,1,1,BF16,2,1024,512,softmax,1024,1024,0.39,0.31,3.08,1.25,memory
Llama2-13B,IntelGaudi2B,1,1,BF16,2,1024,512,score@v,1024,1024,20.0,0.2,432.0,102.4,memory
Llama2-13B,IntelGaudi2B,1,1,BF16,2,1024,512,up(w1),1024,1024,270.0,0.2,432.0,1322.87,compute
Llama2-13B,IntelGaudi2B,1,1,BF16,2,1024,512,down(w2),1024,1024,270.0,0.2,432.0,1322.87,compute
Llama2-13B,IntelGaudi2B,1,1,BF16,2,1024,512,gate(w3),1024,1024,270.0,0.2,432.0,1322.87,compute
Llama2-13B,IntelGaudi2B,1,1,BF16,4,1024,512,qkvo_proj,1024,1024,800.0,0.51,432.0,1575.38,compute
Llama2-13B,IntelGaudi2B,1,1,BF16,4,1024,512,q@k_T,1024,1024,40.0,0.39,432.0,102.4,memory
Llama2-13B,IntelGaudi2B,1,1,BF16,4,1024,512,softmax,1024,1024,0.78,0.62,3.08,1.25,memory
Llama2-13B,IntelGaudi2B,1,1,BF16,4,1024,512,score@v,1024,1024,40.0,0.39,432.0,102.4,memory
Llama2-13B,IntelGaudi2B,1,1,BF16,4,1024,512,up(w1),1024,1024,540.0,0.28,432.0,1953.92,compute
Llama2-13B,IntelGaudi2B,1,1,BF16,4,1024,512,down(w2),1024,1024,540.0,0.28,432.0,1953.92,compute
Llama2-13B,IntelGaudi2B,1,1,BF16,4,1024,512,gate(w3),1024,1024,540.0,0.28,432.0,1953.92,compute
Llama2-13B,IntelGaudi2B,1,1,BF16,8,1024,512,qkvo_proj,1024,1024,1600.0,0.82,432.0,1950.48,compute
Llama2-13B,IntelGaudi2B,1,1,BF16,8,1024,512,q@k_T,1024,1024,80.0,0.78,432.0,102.4,memory
Llama2-13B,IntelGaudi2B,1,1,BF16,8,1024,512,softmax,1024,1024,1.56,1.25,3.08,1.25,memory
Llama2-13B,IntelGaudi2B,1,1,BF16,8,1024,512,score@v,1024,1024,80.0,0.78,432.0,102.4,memory
Llama2-13B,IntelGaudi2B,1,1,BF16,8,1024,512,up(w1),1024,1024,1080.0,0.42,432.0,2565.94,compute
Llama2-13B,IntelGaudi2B,1,1,BF16,8,1024,512,down(w2),1024,1024,1080.0,0.42,432.0,2565.94,compute
Llama2-13B,IntelGaudi2B,1,1,BF16,8,1024,512,gate(w3),1024,1024,1080.0,0.42,432.0,2565.94,compute
Llama2-13B,IntelGaudi2B,1,1,BF16,16,1024,512,qkvo_proj,1024,1024,3200.0,1.45,432.0,2214.05,compute
Llama2-13B,IntelGaudi2B,1,1,BF16,16,1024,512,q@k_T,1024,1024,160.0,1.56,432.0,102.4,memory
Llama2-13B,IntelGaudi2B,1,1,BF16,16,1024,512,softmax,1024,1024,3.12,2.5,3.08,1.25,memory
Llama2-13B,IntelGaudi2B,1,1,BF16,16,1024,512,score@v,1024,1024,160.0,1.56,432.0,102.4,memory
Llama2-13B,IntelGaudi2B,1,1,BF16,16,1024,512,up(w1),1024,1024,2160.0,0.71,432.0,3042.42,compute
Llama2-13B,IntelGaudi2B,1,1,BF16,16,1024,512,down(w2),1024,1024,2160.0,0.71,432.0,3042.42,compute
Llama2-13B,IntelGaudi2B,1,1,BF16,16,1024,512,gate(w3),1024,1024,2160.0,0.71,432.0,3042.42,compute
Llama2-13B,IntelGaudi2B,1,1,BF16,32,1024,512,qkvo_proj,1024,1024,6400.0,2.7,432.0,2374.49,compute
Llama2-13B,IntelGaudi2B,1,1,BF16,32,1024,512,q@k_T,1024,1024,320.0,3.12,432.0,102.4,memory
Llama2-13B,IntelGaudi2B,1,1,BF16,32,1024,512,softmax,1024,1024,6.25,5.0,3.08,1.25,memory
Llama2-13B,IntelGaudi2B,1,1,BF16,32,1024,512,score@v,1024,1024,320.0,3.12,432.0,102.4,memory
Llama2-13B,IntelGaudi2B,1,1,BF16,32,1024,512,up(w1),1024,1024,4320.0,1.29,432.0,3353.81,compute
Llama2-13B,IntelGaudi2B,1,1,BF16,32,1024,512,down(w2),1024,1024,4320.0,1.29,432.0,3353.81,compute
Llama2-13B,IntelGaudi2B,1,1,BF16,32,1024,512,gate(w3),1024,1024,4320.0,1.29,432.0,3353.81,compute
Llama2-13B,IntelGaudi2B,1,1,BF16,64,1024,512,qkvo_proj,1024,1024,12800.0,5.2,432.0,2463.76,compute
Llama2-13B,IntelGaudi2B,1,1,BF16,64,1024,512,q@k_T,1024,1024,640.0,6.25,432.0,102.4,memory
Llama2-13B,IntelGaudi2B,1,1,BF16,64,1024,512,softmax,1024,1024,12.5,10.0,3.08,1.25,memory
Llama2-13B,IntelGaudi2B,1,1,BF16,64,1024,512,score@v,1024,1024,640.0,6.25,432.0,102.4,memory
Llama2-13B,IntelGaudi2B,1,1,BF16,64,1024,512,up(w1),1024,1024,8640.0,2.44,432.0,3534.7,compute
Llama2-13B,IntelGaudi2B,1,1,BF16,64,1024,512,down(w2),1024,1024,8640.0,2.44,432.0,3534.7,compute
Llama2-13B,IntelGaudi2B,1,1,BF16,64,1024,512,gate(w3),1024,1024,8640.0,2.44,432.0,3534.7,compute
Llama2-13B,IntelGaudi2B,1,1,BF16,128,1024,512,qkvo_proj,1024,1024,25600.0,10.2,432.0,2510.96,compute
Llama2-13B,IntelGaudi2B,1,1,BF16,128,1024,512,q@k_T,1024,1024,1280.0,12.5,432.0,102.4,memory
Llama2-13B,IntelGaudi2B,1,1,BF16,128,1024,512,softmax,1024,1024,25.0,20.0,3.08,1.25,memory
Llama2-13B,IntelGaudi2B,1,1,BF16,128,1024,512,score@v,1024,1024,1280.0,12.5,432.0,102.4,memory
Llama2-13B,IntelGaudi2B,1,1,BF16,128,1024,512,up(w1),1024,1024,17280.0,4.76,432.0,3632.67,compute
Llama2-13B,IntelGaudi2B,1,1,BF16,128,1024,512,down(w2),1024,1024,17280.0,4.76,432.0,3632.67,compute
Llama2-13B,IntelGaudi2B,1,1,BF16,128,1024,512,gate(w3),1024,1024,17280.0,4.76,432.0,3632.67,compute
Llama2-13B,IntelGaudi2B,1,1,BF16,256,1024,512,qkvo_proj,1024,1024,51200.0,20.2,432.0,2535.24,compute
Llama2-13B,IntelGaudi2B,1,1,BF16,256,1024,512,q@k_T,1024,1024,2560.0,25.0,432.0,102.4,memory
Llama2-13B,IntelGaudi2B,1,1,BF16,256,1024,512,softmax,1024,1024,50.0,40.0,3.08,1.25,memory
Llama2-13B,IntelGaudi2B,1,1,BF16,256,1024,512,score@v,1024,1024,2560.0,25.0,432.0,102.4,memory
Llama2-13B,IntelGaudi2B,1,1,BF16,256,1024,512,up(w1),1024,1024,34560.0,9.38,432.0,3683.71,compute
Llama2-13B,IntelGaudi2B,1,1,BF16,256,1024,512,down(w2),1024,1024,34560.0,9.38,432.0,3683.71,compute
Llama2-13B,IntelGaudi2B,1,1,BF16,256,1024,512,gate(w3),1024,1024,34560.0,9.38,432.0,3683.71,compute
Llama2-13B,IntelGaudi2B,1,1,BF16,512,1024,512,qkvo_proj,1024,1024,102400.0,40.2,432.0,2547.56,compute
Llama2-13B,IntelGaudi2B,1,1,BF16,512,1024,512,q@k_T,1024,1024,5120.0,50.0,432.0,102.4,memory
Llama2-13B,IntelGaudi2B,1,1,BF16,512,1024,512,softmax,1024,1024,100.0,80.0,3.08,1.25,memory
Llama2-13B,IntelGaudi2B,1,1,BF16,512,1024,512,score@v,1024,1024,5120.0,50.0,432.0,102.4,memory
Llama2-13B,IntelGaudi2B,1,1,BF16,512,1024,512,up(w1),1024,1024,69120.0,18.63,432.0,3709.78,compute
Llama2-13B,IntelGaudi2B,1,1,BF16,512,1024,512,down(w2),1024,1024,69120.0,18.63,432.0,3709.78,compute
Llama2-13B,IntelGaudi2B,1,1,BF16,512,1024,512,gate(w3),1024,1024,69120.0,18.63,432.0,3709.78,compute
,,,,,,,,,,,,,,,
Llama2-13B,IntelGaudi2B,1,1,BF16,1,2048,512,qkvo_proj,2048,2048,400.0,0.35,432.0,1137.78,compute
Llama2-13B,IntelGaudi2B,1,1,BF16,1,2048,512,q@k_T,2048,2048,40.0,0.35,432.0,113.78,memory
Llama2-13B,IntelGaudi2B,1,1,BF16,1,2048,512,softmax,2048,2048,0.78,0.62,3.08,1.25,memory
Llama2-13B,IntelGaudi2B,1,1,BF16,1,2048,512,score@v,2048,2048,40.0,0.35,432.0,113.78,memory
Llama2-13B,IntelGaudi2B,1,1,BF16,1,2048,512,up(w1),2048,2048,270.0,0.2,432.0,1322.87,compute
Llama2-13B,IntelGaudi2B,1,1,BF16,1,2048,512,down(w2),2048,2048,270.0,0.2,432.0,1322.87,compute
Llama2-13B,IntelGaudi2B,1,1,BF16,1,2048,512,gate(w3),2048,2048,270.0,0.2,432.0,1322.87,compute
Llama2-13B,IntelGaudi2B,1,1,BF16,2,2048,512,qkvo_proj,2048,2048,800.0,0.51,432.0,1575.38,compute
Llama2-13B,IntelGaudi2B,1,1,BF16,2,2048,512,q@k_T,2048,2048,80.0,0.7,432.0,113.78,memory
Llama2-13B,IntelGaudi2B,1,1,BF16,2,2048,512,softmax,2048,2048,1.56,1.25,3.08,1.25,memory
Llama2-13B,IntelGaudi2B,1,1,BF16,2,2048,512,score@v,2048,2048,80.0,0.7,432.0,113.78,memory
Llama2-13B,IntelGaudi2B,1,1,BF16,2,2048,512,up(w1),2048,2048,540.0,0.28,432.0,1953.92,compute
Llama2-13B,IntelGaudi2B,1,1,BF16,2,2048,512,down(w2),2048,2048,540.0,0.28,432.0,1953.92,compute
Llama2-13B,IntelGaudi2B,1,1,BF16,2,2048,512,gate(w3),2048,2048,540.0,0.28,432.0,1953.92,compute
Llama2-13B,IntelGaudi2B,1,1,BF16,4,2048,512,qkvo_proj,2048,2048,1600.0,0.82,432.0,1950.48,compute
Llama2-13B,IntelGaudi2B,1,1,BF16,4,2048,512,q@k_T,2048,2048,160.0,1.41,432.0,113.78,memory
Llama2-13B,IntelGaudi2B,1,1,BF16,4,2048,512,softmax,2048,2048,3.12,2.5,3.08,1.25,memory
Llama2-13B,IntelGaudi2B,1,1,BF16,4,2048,512,score@v,2048,2048,160.0,1.41,432.0,113.78,memory
Llama2-13B,IntelGaudi2B,1,1,BF16,4,2048,512,up(w1),2048,2048,1080.0,0.42,432.0,2565.94,compute
Llama2-13B,IntelGaudi2B,1,1,BF16,4,2048,512,down(w2),2048,2048,1080.0,0.42,432.0,2565.94,compute
