Model,Device,PP,TP,DType,BS,Input,Output,Operation,SeqLenQ,SeqLenKV,NumOps(G),Memory(GB),TopsRF(TFlops),AI,Bound
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,2,128,512,up(w1),128,128,28.0,0.12,280.8,236.96,compute
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,2,128,512,down(w2),128,128,28.0,0.12,280.8,236.96,compute
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,2,128,512,gate(w3),128,128,28.0,0.12,280.8,236.96,compute
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,4,128,512,qkvo_proj,128,128,64.0,0.16,280.8,409.6,compute
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,4,128,512,q@k_T,128,128,0.5,0.01,280.8,56.89,memory
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,4,128,512,softmax,128,128,0.01,0.01,1.88,1.25,memory
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,4,128,512,score@v,128,128,0.5,0.01,280.8,56.89,memory
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,4,128,512,up(w1),128,128,56.0,0.13,280.8,441.11,compute
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,4,128,512,down(w2),128,128,56.0,0.13,280.8,441.11,compute
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,4,128,512,gate(w3),128,128,56.0,0.13,280.8,441.11,compute
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,8,128,512,qkvo_proj,128,128,128.0,0.19,280.8,682.67,compute
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,8,128,512,q@k_T,128,128,1.0,0.02,280.8,56.89,memory
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,8,128,512,softmax,128,128,0.02,0.02,1.88,1.25,memory
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,8,128,512,score@v,128,128,1.0,0.02,280.8,56.89,memory
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,8,128,512,up(w1),128,128,112.0,0.14,280.8,774.92,compute
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,8,128,512,down(w2),128,128,112.0,0.14,280.8,774.92,compute
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,8,128,512,gate(w3),128,128,112.0,0.14,280.8,774.92,compute
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,16,128,512,qkvo_proj,128,128,256.0,0.25,280.8,1024.0,compute
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,16,128,512,q@k_T,128,128,2.0,0.04,280.8,56.89,memory
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,16,128,512,softmax,128,128,0.04,0.03,1.88,1.25,memory
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,16,128,512,score@v,128,128,2.0,0.04,280.8,56.89,memory
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,16,128,512,up(w1),128,128,224.0,0.18,280.8,1246.61,compute
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,16,128,512,down(w2),128,128,224.0,0.18,280.8,1246.61,compute
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,16,128,512,gate(w3),128,128,224.0,0.18,280.8,1246.61,compute
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,32,128,512,qkvo_proj,128,128,512.0,0.38,280.8,1365.33,compute
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,32,128,512,q@k_T,128,128,4.0,0.07,280.8,56.89,memory
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,32,128,512,softmax,128,128,0.08,0.06,1.88,1.25,memory
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,32,128,512,score@v,128,128,4.0,0.07,280.8,56.89,memory
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,32,128,512,up(w1),128,128,448.0,0.25,280.8,1792.0,compute
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,32,128,512,down(w2),128,128,448.0,0.25,280.8,1792.0,compute
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,32,128,512,gate(w3),128,128,448.0,0.25,280.8,1792.0,compute
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,64,128,512,qkvo_proj,128,128,1024.0,0.62,280.8,1638.4,compute
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,64,128,512,q@k_T,128,128,8.0,0.14,280.8,56.89,memory
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,64,128,512,softmax,128,128,0.16,0.12,1.88,1.25,memory
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,64,128,512,score@v,128,128,8.0,0.14,280.8,56.89,memory
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,64,128,512,up(w1),128,128,896.0,0.39,280.8,2293.76,compute
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,64,128,512,down(w2),128,128,896.0,0.39,280.8,2293.76,compute
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,64,128,512,gate(w3),128,128,896.0,0.39,280.8,2293.76,compute
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,128,128,512,qkvo_proj,128,128,2048.0,1.12,280.8,1820.44,compute
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,128,128,512,q@k_T,128,128,16.0,0.28,280.8,56.89,memory
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,128,128,512,softmax,128,128,0.31,0.25,1.88,1.25,memory
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,128,128,512,score@v,128,128,16.0,0.28,280.8,56.89,memory
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,128,128,512,up(w1),128,128,1792.0,0.67,280.8,2667.16,compute
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,128,128,512,down(w2),128,128,1792.0,0.67,280.8,2667.16,compute
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,128,128,512,gate(w3),128,128,1792.0,0.67,280.8,2667.16,compute
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,256,128,512,qkvo_proj,128,128,4096.0,2.12,280.8,1927.53,compute
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,256,128,512,q@k_T,128,128,32.0,0.56,280.8,56.89,memory
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,256,128,512,softmax,128,128,0.62,0.5,1.88,1.25,memory
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,256,128,512,score@v,128,128,32.0,0.56,280.8,56.89,memory
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,256,128,512,up(w1),128,128,3584.0,1.23,280.8,2903.49,compute
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,256,128,512,down(w2),128,128,3584.0,1.23,280.8,2903.49,compute
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,256,128,512,gate(w3),128,128,3584.0,1.23,280.8,2903.49,compute
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,512,128,512,qkvo_proj,128,128,8192.0,4.12,280.8,1985.94,compute
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,512,128,512,q@k_T,128,128,64.0,1.12,280.8,56.89,memory
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,512,128,512,softmax,128,128,1.25,1.0,1.88,1.25,memory
