Model,Device,PP,TP,DType,BS,Input,Output,Operation,SeqLenQ,SeqLenKV,NumOps(G),Memory(GB),TopsRF(TFlops),AI,Bound
Qwen-14B,IntelGaudi2B,1,1,BF16,32,1024,512,softmax,1024,1024,6.25,5.0,3.08,1.25,memory
Qwen-14B,IntelGaudi2B,1,1,BF16,32,1024,512,score@v,1024,1024,320.0,3.12,432.0,102.4,memory
Qwen-14B,IntelGaudi2B,1,1,BF16,32,1024,512,up(w1),1024,1024,4280.0,1.28,432.0,3346.23,compute
Qwen-14B,IntelGaudi2B,1,1,BF16,32,1024,512,down(w2),1024,1024,4280.0,1.28,432.0,3346.23,compute
Qwen-14B,IntelGaudi2B,1,1,BF16,32,1024,512,gate(w3),1024,1024,4280.0,1.28,432.0,3346.23,compute
Qwen-14B,IntelGaudi2B,1,1,BF16,64,1024,512,qkvo_proj,1024,1024,12800.0,5.2,432.0,2463.76,compute
Qwen-14B,IntelGaudi2B,1,1,BF16,64,1024,512,q@k_T,1024,1024,640.0,6.25,432.0,102.4,memory
Qwen-14B,IntelGaudi2B,1,1,BF16,64,1024,512,softmax,1024,1024,12.5,10.0,3.08,1.25,memory
Qwen-14B,IntelGaudi2B,1,1,BF16,64,1024,512,score@v,1024,1024,640.0,6.25,432.0,102.4,memory
Qwen-14B,IntelGaudi2B,1,1,BF16,64,1024,512,up(w1),1024,1024,8560.0,2.43,432.0,3526.28,compute
Qwen-14B,IntelGaudi2B,1,1,BF16,64,1024,512,down(w2),1024,1024,8560.0,2.43,432.0,3526.28,compute
Qwen-14B,IntelGaudi2B,1,1,BF16,64,1024,512,gate(w3),1024,1024,8560.0,2.43,432.0,3526.28,compute
Qwen-14B,IntelGaudi2B,1,1,BF16,128,1024,512,qkvo_proj,1024,1024,25600.0,10.2,432.0,2510.96,compute
Qwen-14B,IntelGaudi2B,1,1,BF16,128,1024,512,q@k_T,1024,1024,1280.0,12.5,432.0,102.4,memory
Qwen-14B,IntelGaudi2B,1,1,BF16,128,1024,512,softmax,1024,1024,25.0,20.0,3.08,1.25,memory
Qwen-14B,IntelGaudi2B,1,1,BF16,128,1024,512,score@v,1024,1024,1280.0,12.5,432.0,102.4,memory
Qwen-14B,IntelGaudi2B,1,1,BF16,128,1024,512,up(w1),1024,1024,17120.0,4.72,432.0,3623.77,compute
Qwen-14B,IntelGaudi2B,1,1,BF16,128,1024,512,down(w2),1024,1024,17120.0,4.72,432.0,3623.77,compute
Qwen-14B,IntelGaudi2B,1,1,BF16,128,1024,512,gate(w3),1024,1024,17120.0,4.72,432.0,3623.77,compute
Qwen-14B,IntelGaudi2B,1,1,BF16,256,1024,512,qkvo_proj,1024,1024,51200.0,20.2,432.0,2535.24,compute
Qwen-14B,IntelGaudi2B,1,1,BF16,256,1024,512,q@k_T,1024,1024,2560.0,25.0,432.0,102.4,memory
Qwen-14B,IntelGaudi2B,1,1,BF16,256,1024,512,softmax,1024,1024,50.0,40.0,3.08,1.25,memory
Qwen-14B,IntelGaudi2B,1,1,BF16,256,1024,512,score@v,1024,1024,2560.0,25.0,432.0,102.4,memory
Qwen-14B,IntelGaudi2B,1,1,BF16,256,1024,512,up(w1),1024,1024,34240.0,9.32,432.0,3674.56,compute
Qwen-14B,IntelGaudi2B,1,1,BF16,256,1024,512,down(w2),1024,1024,34240.0,9.32,432.0,3674.56,compute
Qwen-14B,IntelGaudi2B,1,1,BF16,256,1024,512,gate(w3),1024,1024,34240.0,9.32,432.0,3674.56,compute
Qwen-14B,IntelGaudi2B,1,1,BF16,512,1024,512,qkvo_proj,1024,1024,102400.0,40.2,432.0,2547.56,compute
Qwen-14B,IntelGaudi2B,1,1,BF16,512,1024,512,q@k_T,1024,1024,5120.0,50.0,432.0,102.4,memory
Qwen-14B,IntelGaudi2B,1,1,BF16,512,1024,512,softmax,1024,1024,100.0,80.0,3.08,1.25,memory
Qwen-14B,IntelGaudi2B,1,1,BF16,512,1024,512,score@v,1024,1024,5120.0,50.0,432.0,102.4,memory
Qwen-14B,IntelGaudi2B,1,1,BF16,512,1024,512,up(w1),1024,1024,68480.0,18.51,432.0,3700.5,compute
Qwen-14B,IntelGaudi2B,1,1,BF16,512,1024,512,down(w2),1024,1024,68480.0,18.51,432.0,3700.5,compute
Qwen-14B,IntelGaudi2B,1,1,BF16,512,1024,512,gate(w3),1024,1024,68480.0,18.51,432.0,3700.5,compute
,,,,,,,,,,,,,,,
Qwen-14B,IntelGaudi2B,1,1,BF16,1,2048,512,qkvo_proj,2048,2048,400.0,0.35,432.0,1137.78,compute
Qwen-14B,IntelGaudi2B,1,1,BF16,1,2048,512,q@k_T,2048,2048,40.0,0.35,432.0,113.78,memory
Qwen-14B,IntelGaudi2B,1,1,BF16,1,2048,512,softmax,2048,2048,0.78,0.62,3.08,1.25,memory
Qwen-14B,IntelGaudi2B,1,1,BF16,1,2048,512,score@v,2048,2048,40.0,0.35,432.0,113.78,memory
Qwen-14B,IntelGaudi2B,1,1,BF16,1,2048,512,up(w1),2048,2048,267.5,0.2,432.0,1321.69,compute
Qwen-14B,IntelGaudi2B,1,1,BF16,1,2048,512,down(w2),2048,2048,267.5,0.2,432.0,1321.69,compute
Qwen-14B,IntelGaudi2B,1,1,BF16,1,2048,512,gate(w3),2048,2048,267.5,0.2,432.0,1321.69,compute
Qwen-14B,IntelGaudi2B,1,1,BF16,2,2048,512,qkvo_proj,2048,2048,800.0,0.51,432.0,1575.38,compute
Qwen-14B,IntelGaudi2B,1,1,BF16,2,2048,512,q@k_T,2048,2048,80.0,0.7,432.0,113.78,memory
Qwen-14B,IntelGaudi2B,1,1,BF16,2,2048,512,softmax,2048,2048,1.56,1.25,3.08,1.25,memory
Qwen-14B,IntelGaudi2B,1,1,BF16,2,2048,512,score@v,2048,2048,80.0,0.7,432.0,113.78,memory
Qwen-14B,IntelGaudi2B,1,1,BF16,2,2048,512,up(w1),2048,2048,535.0,0.27,432.0,1951.34,compute
Qwen-14B,IntelGaudi2B,1,1,BF16,2,2048,512,down(w2),2048,2048,535.0,0.27,432.0,1951.34,compute
Qwen-14B,IntelGaudi2B,1,1,BF16,2,2048,512,gate(w3),2048,2048,535.0,0.27,432.0,1951.34,compute
Qwen-14B,IntelGaudi2B,1,1,BF16,4,2048,512,qkvo_proj,2048,2048,1600.0,0.82,432.0,1950.48,compute
Qwen-14B,IntelGaudi2B,1,1,BF16,4,2048,512,q@k_T,2048,2048,160.0,1.41,432.0,113.78,memory
Qwen-14B,IntelGaudi2B,1,1,BF16,4,2048,512,softmax,2048,2048,3.12,2.5,3.08,1.25,memory
Qwen-14B,IntelGaudi2B,1,1,BF16,4,2048,512,score@v,2048,2048,160.0,1.41,432.0,113.78,memory
Qwen-14B,IntelGaudi2B,1,1,BF16,4,2048,512,up(w1),2048,2048,1070.0,0.42,432.0,2561.5,compute
Qwen-14B,IntelGaudi2B,1,1,BF16,4,2048,512,down(w2),2048,2048,1070.0,0.42,432.0,2561.5,compute
Qwen-14B,IntelGaudi2B,1,1,BF16,4,2048,512,gate(w3),2048,2048,1070.0,0.42,432.0,2561.5,compute
Qwen-14B,IntelGaudi2B,1,1,BF16,8,2048,512,qkvo_proj,2048,2048,3200.0,1.45,432.0,2214.05,compute
Qwen-14B,IntelGaudi2B,1,1,BF16,8,2048,512,q@k_T,2048,2048,320.0,2.81,432.0,113.78,memory
Qwen-14B,IntelGaudi2B,1,1,BF16,8,2048,512,softmax,2048,2048,6.25,5.0,3.08,1.25,memory
Qwen-14B,IntelGaudi2B,1,1,BF16,8,2048,512,score@v,2048,2048,320.0,2.81,432.0,113.78,memory
Qwen-14B,IntelGaudi2B,1,1,BF16,8,2048,512,up(w1),2048,2048,2140.0,0.7,432.0,3036.18,compute
Qwen-14B,IntelGaudi2B,1,1,BF16,8,2048,512,down(w2),2048,2048,2140.0,0.7,432.0,3036.18,compute
Qwen-14B,IntelGaudi2B,1,1,BF16,8,2048,512,gate(w3),2048,2048,2140.0,0.7,432.0,3036.18,compute
Qwen-14B,IntelGaudi2B,1,1,BF16,16,2048,512,qkvo_proj,2048,2048,6400.0,2.7,432.0,2374.49,compute
Qwen-14B,IntelGaudi2B,1,1,BF16,16,2048,512,q@k_T,2048,2048,640.0,5.62,432.0,113.78,memory
Qwen-14B,IntelGaudi2B,1,1,BF16,16,2048,512,softmax,2048,2048,12.5,10.0,3.08,1.25,memory
Qwen-14B,IntelGaudi2B,1,1,BF16,16,2048,512,score@v,2048,2048,640.0,5.62,432.0,113.78,memory
Qwen-14B,IntelGaudi2B,1,1,BF16,16,2048,512,up(w1),2048,2048,4280.0,1.28,432.0,3346.23,compute
Qwen-14B,IntelGaudi2B,1,1,BF16,16,2048,512,down(w2),2048,2048,4280.0,1.28,432.0,3346.23,compute
Qwen-14B,IntelGaudi2B,1,1,BF16,16,2048,512,gate(w3),2048,2048,4280.0,1.28,432.0,3346.23,compute
Qwen-14B,IntelGaudi2B,1,1,BF16,32,2048,512,qkvo_proj,2048,2048,12800.0,5.2,432.0,2463.76,compute
Qwen-14B,IntelGaudi2B,1,1,BF16,32,2048,512,q@k_T,2048,2048,1280.0,11.25,432.0,113.78,memory
Qwen-14B,IntelGaudi2B,1,1,BF16,32,2048,512,softmax,2048,2048,25.0,20.0,3.08,1.25,memory
Qwen-14B,IntelGaudi2B,1,1,BF16,32,2048,512,score@v,2048,2048,1280.0,11.25,432.0,113.78,memory
Qwen-14B,IntelGaudi2B,1,1,BF16,32,2048,512,up(w1),2048,2048,8560.0,2.43,432.0,3526.28,compute
Qwen-14B,IntelGaudi2B,1,1,BF16,32,2048,512,down(w2),2048,2048,8560.0,2.43,432.0,3526.28,compute
Qwen-14B,IntelGaudi2B,1,1,BF16,32,2048,512,gate(w3),2048,2048,8560.0,2.43,432.0,3526.28,compute
Qwen-14B,IntelGaudi2B,1,1,BF16,64,2048,512,qkvo_proj,2048,2048,25600.0,10.2,432.0,2510.96,compute
Qwen-14B,IntelGaudi2B,1,1,BF16,64,2048,512,q@k_T,2048,2048,2560.0,22.5,432.0,113.78,memory
Qwen-14B,IntelGaudi2B,1,1,BF16,64,2048,512,softmax,2048,2048,50.0,40.0,3.08,1.25,memory
Qwen-14B,IntelGaudi2B,1,1,BF16,64,2048,512,score@v,2048,2048,2560.0,22.5,432.0,113.78,memory
Qwen-14B,IntelGaudi2B,1,1,BF16,64,2048,512,up(w1),2048,2048,17120.0,4.72,432.0,3623.77,compute
Qwen-14B,IntelGaudi2B,1,1,BF16,64,2048,512,down(w2),2048,2048,17120.0,4.72,432.0,3623.77,compute
Qwen-14B,IntelGaudi2B,1,1,BF16,64,2048,512,gate(w3),2048,2048,17120.0,4.72,432.0,3623.77,compute
Qwen-14B,IntelGaudi2B,1,1,BF16,128,2048,512,qkvo_proj,2048,2048,51200.0,20.2,432.0,2535.24,compute
Qwen-14B,IntelGaudi2B,1,1,BF16,128,2048,512,q@k_T,2048,2048,5120.0,45.0,432.0,113.78,memory
Qwen-14B,IntelGaudi2B,1,1,BF16,128,2048,512,softmax,2048,2048,100.0,80.0,3.08,1.25,memory
Qwen-14B,IntelGaudi2B,1,1,BF16,128,2048,512,score@v,2048,2048,5120.0,45.0,432.0,113.78,memory
Qwen-14B,IntelGaudi2B,1,1,BF16,128,2048,512,up(w1),2048,2048,34240.0,9.32,432.0,3674.56,compute
Qwen-14B,IntelGaudi2B,1,1,BF16,128,2048,512,down(w2),2048,2048,34240.0,9.32,432.0,3674.56,compute
Qwen-14B,IntelGaudi2B,1,1,BF16,128,2048,512,gate(w3),2048,2048,34240.0,9.32,432.0,3674.56,compute
Qwen-14B,IntelGaudi2B,1,1,BF16,256,2048,512,qkvo_proj,2048,2048,102400.0,40.2,432.0,2547.56,compute
Qwen-14B,IntelGaudi2B,1,1,BF16,256,2048,512,q@k_T,2048,2048,10240.0,90.0,432.0,113.78,memory
Qwen-14B,IntelGaudi2B,1,1,BF16,256,2048,512,softmax,2048,2048,200.0,160.0,3.08,1.25,memory
Qwen-14B,IntelGaudi2B,1,1,BF16,256,2048,512,score@v,2048,2048,10240.0,90.0,432.0,113.78,memory
Qwen-14B,IntelGaudi2B,1,1,BF16,256,2048,512,up(w1),2048,2048,68480.0,18.51,432.0,3700.5,compute
Qwen-14B,IntelGaudi2B,1,1,BF16,256,2048,512,down(w2),2048,2048,68480.0,18.51,432.0,3700.5,compute
Qwen-14B,IntelGaudi2B,1,1,BF16,256,2048,512,gate(w3),2048,2048,68480.0,18.51,432.0,3700.5,compute
Qwen-14B,IntelGaudi2B,1,1,BF16,512,2048,512,qkvo_proj,2048,2048,204800.0,80.2,432.0,2553.77,compute
Qwen-14B,IntelGaudi2B,1,1,BF16,512,2048,512,q@k_T,2048,2048,20480.0,180.0,432.0,113.78,memory
Qwen-14B,IntelGaudi2B,1,1,BF16,512,2048,512,softmax,2048,2048,400.0,320.0,3.08,1.25,memory
Qwen-14B,IntelGaudi2B,1,1,BF16,512,2048,512,score@v,2048,2048,20480.0,180.0,432.0,113.78,memory
Qwen-14B,IntelGaudi2B,1,1,BF16,512,2048,512,up(w1),2048,2048,136960.0,36.88,432.0,3713.6,compute
Qwen-14B,IntelGaudi2B,1,1,BF16,512,2048,512,down(w2),2048,2048,136960.0,36.88,432.0,3713.6,compute
Qwen-14B,IntelGaudi2B,1,1,BF16,512,2048,512,gate(w3),2048,2048,136960.0,36.88,432.0,3713.6,compute
,,,,,,,,,,,,,,,
